metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1663761042,0.000000,,,,,,,,,,,,,,,
vus_max,1663761042,1.000000,,,,,,,,,,,,,,,
vus,1663761043,0.000000,,,,,,,,,,,,,,,
vus_max,1663761043,1.000000,,,,,,,,,,,,,,,
vus,1663761044,0.000000,,,,,,,,,,,,,,,
vus_max,1663761044,1.000000,,,,,,,,,,,,,,,
vus,1663761045,0.000000,,,,,,,,,,,,,,,
vus_max,1663761045,1.000000,,,,,,,,,,,,,,,
vus,1663761046,0.000000,,,,,,,,,,,,,,,
vus_max,1663761046,1.000000,,,,,,,,,,,,,,,
vus,1663761047,0.000000,,,,,,,,,,,,,,,
vus_max,1663761047,1.000000,,,,,,,,,,,,,,,
vus,1663761048,0.000000,,,,,,,,,,,,,,,
vus_max,1663761048,1.000000,,,,,,,,,,,,,,,
vus,1663761049,0.000000,,,,,,,,,,,,,,,
vus_max,1663761049,1.000000,,,,,,,,,,,,,,,
vus,1663761050,0.000000,,,,,,,,,,,,,,,
vus_max,1663761050,1.000000,,,,,,,,,,,,,,,
vus,1663761051,0.000000,,,,,,,,,,,,,,,
vus_max,1663761051,1.000000,,,,,,,,,,,,,,,
vus,1663761052,0.000000,,,,,,,,,,,,,,,
vus_max,1663761052,1.000000,,,,,,,,,,,,,,,
vus,1663761053,0.000000,,,,,,,,,,,,,,,
vus_max,1663761053,1.000000,,,,,,,,,,,,,,,
vus,1663761054,0.000000,,,,,,,,,,,,,,,
vus_max,1663761054,1.000000,,,,,,,,,,,,,,,
vus,1663761055,0.000000,,,,,,,,,,,,,,,
vus_max,1663761055,1.000000,,,,,,,,,,,,,,,
vus,1663761056,0.000000,,,,,,,,,,,,,,,
vus_max,1663761056,1.000000,,,,,,,,,,,,,,,
vus,1663761057,0.000000,,,,,,,,,,,,,,,
vus_max,1663761057,1.000000,,,,,,,,,,,,,,,
vus,1663761058,0.000000,,,,,,,,,,,,,,,
vus_max,1663761058,1.000000,,,,,,,,,,,,,,,
vus,1663761059,0.000000,,,,,,,,,,,,,,,
vus_max,1663761059,1.000000,,,,,,,,,,,,,,,
vus,1663761060,0.000000,,,,,,,,,,,,,,,
vus_max,1663761060,1.000000,,,,,,,,,,,,,,,
vus,1663761061,0.000000,,,,,,,,,,,,,,,
vus_max,1663761061,1.000000,,,,,,,,,,,,,,,
vus,1663761062,0.000000,,,,,,,,,,,,,,,
vus_max,1663761062,1.000000,,,,,,,,,,,,,,,
vus,1663761063,0.000000,,,,,,,,,,,,,,,
vus_max,1663761063,1.000000,,,,,,,,,,,,,,,
vus,1663761064,0.000000,,,,,,,,,,,,,,,
vus_max,1663761064,1.000000,,,,,,,,,,,,,,,
vus,1663761065,0.000000,,,,,,,,,,,,,,,
vus_max,1663761065,1.000000,,,,,,,,,,,,,,,
vus,1663761066,0.000000,,,,,,,,,,,,,,,
vus_max,1663761066,1.000000,,,,,,,,,,,,,,,
vus,1663761067,0.000000,,,,,,,,,,,,,,,
vus_max,1663761067,1.000000,,,,,,,,,,,,,,,
vus,1663761068,0.000000,,,,,,,,,,,,,,,
vus_max,1663761068,1.000000,,,,,,,,,,,,,,,
vus,1663761069,0.000000,,,,,,,,,,,,,,,
vus_max,1663761069,1.000000,,,,,,,,,,,,,,,
vus,1663761070,0.000000,,,,,,,,,,,,,,,
vus_max,1663761070,1.000000,,,,,,,,,,,,,,,
vus,1663761071,0.000000,,,,,,,,,,,,,,,
vus_max,1663761071,1.000000,,,,,,,,,,,,,,,
vus,1663761072,0.000000,,,,,,,,,,,,,,,
vus_max,1663761072,1.000000,,,,,,,,,,,,,,,
vus,1663761073,0.000000,,,,,,,,,,,,,,,
vus_max,1663761073,1.000000,,,,,,,,,,,,,,,
vus,1663761074,0.000000,,,,,,,,,,,,,,,
vus_max,1663761074,1.000000,,,,,,,,,,,,,,,
vus,1663761075,0.000000,,,,,,,,,,,,,,,
vus_max,1663761075,1.000000,,,,,,,,,,,,,,,
vus,1663761076,0.000000,,,,,,,,,,,,,,,
vus_max,1663761076,1.000000,,,,,,,,,,,,,,,
vus,1663761077,0.000000,,,,,,,,,,,,,,,
vus_max,1663761077,1.000000,,,,,,,,,,,,,,,
vus,1663761078,0.000000,,,,,,,,,,,,,,,
vus_max,1663761078,1.000000,,,,,,,,,,,,,,,
vus,1663761079,0.000000,,,,,,,,,,,,,,,
vus_max,1663761079,1.000000,,,,,,,,,,,,,,,
vus,1663761080,0.000000,,,,,,,,,,,,,,,
vus_max,1663761080,1.000000,,,,,,,,,,,,,,,
vus,1663761081,0.000000,,,,,,,,,,,,,,,
vus_max,1663761081,1.000000,,,,,,,,,,,,,,,
vus,1663761082,0.000000,,,,,,,,,,,,,,,
vus_max,1663761082,1.000000,,,,,,,,,,,,,,,
vus,1663761083,0.000000,,,,,,,,,,,,,,,
vus_max,1663761083,1.000000,,,,,,,,,,,,,,,
vus,1663761084,0.000000,,,,,,,,,,,,,,,
vus_max,1663761084,1.000000,,,,,,,,,,,,,,,
vus,1663761085,0.000000,,,,,,,,,,,,,,,
vus_max,1663761085,1.000000,,,,,,,,,,,,,,,
vus,1663761086,0.000000,,,,,,,,,,,,,,,
vus_max,1663761086,1.000000,,,,,,,,,,,,,,,
vus,1663761087,0.000000,,,,,,,,,,,,,,,
vus_max,1663761087,1.000000,,,,,,,,,,,,,,,
vus,1663761088,0.000000,,,,,,,,,,,,,,,
vus_max,1663761088,1.000000,,,,,,,,,,,,,,,
vus,1663761089,0.000000,,,,,,,,,,,,,,,
vus_max,1663761089,1.000000,,,,,,,,,,,,,,,
vus,1663761090,0.000000,,,,,,,,,,,,,,,
vus_max,1663761090,1.000000,,,,,,,,,,,,,,,
vus,1663761091,0.000000,,,,,,,,,,,,,,,
vus_max,1663761091,1.000000,,,,,,,,,,,,,,,
vus,1663761092,0.000000,,,,,,,,,,,,,,,
vus_max,1663761092,1.000000,,,,,,,,,,,,,,,
vus,1663761093,0.000000,,,,,,,,,,,,,,,
